"CMAR_NO","CMAR_NO_SQNO","CMAR_NM","SIGUNGU_CD","SIGUNGU_NM","CMAR_PKL_CNT","CMAR_PKL_SQNO","PKL_CL","PKL_TYPE","PKL_MNGNO","PKL_NM","PKBL_CNT","FEE_CL","PKL_LONG","PKL_LAT","CMAR_FGR_CRDNT"
"10237","10237005","청양시외버스터미널","44790","청양군",5,2,"공영","노상","296-1-000017","읍내사거리(십자로->송방교)",25,"무료",126.803229,36.451265,"126.803382784095,36.4530448806864|126.802512651657,36.4530614571449|126.80168875594,36.4524472939229|126.801667370417,36.4520867948481|126.800574756035,36.4518686835568|126.800017016838,36.4518677438664|126.799616845149,36.4513263730651|126.7995724131,36.4512542052771|126.798970012723,36.4512712083428|126.798793553113,36.4504959127348|126.798617519184,36.4495584089496|126.799286926597,36.4495054747725|126.799132121338,36.4489825405372|126.80002484365,36.4488398645404|126.800068063801,36.4493806326545|126.800469716167,36.4493452630939|126.800382061873,36.4487323275984|126.800025029988,36.4487677721567|126.799827142914,36.4476500012231|126.802237367384,36.4472935833869|126.802634318136,36.4490965627483|126.804352641123,36.4488831335973|126.804417881228,36.4495500987394|126.804775005736,36.4494785948538|126.805240769641,36.4505607515271|126.80468299414,36.4505778567618|126.804856420497,36.4525787140614|126.803295377849,36.452323809096|126.803382784095,36.4530448806864"
"10237","10237005","청양시외버스터미널","44790","청양군",5,3,"공영","노상","296-1-000001","읍내사거리(의료원사거리->연세연합의원)",28,"무료",126.803175,36.452652,"126.803382784095,36.4530448806864|126.802512651657,36.4530614571449|126.80168875594,36.4524472939229|126.801667370417,36.4520867948481|126.800574756035,36.4518686835568|126.800017016838,36.4518677438664|126.799616845149,36.4513263730651|126.7995724131,36.4512542052771|126.798970012723,36.4512712083428|126.798793553113,36.4504959127348|126.798617519184,36.4495584089496|126.799286926597,36.4495054747725|126.799132121338,36.4489825405372|126.80002484365,36.4488398645404|126.800068063801,36.4493806326545|126.800469716167,36.4493452630939|126.800382061873,36.4487323275984|126.800025029988,36.4487677721567|126.799827142914,36.4476500012231|126.802237367384,36.4472935833869|126.802634318136,36.4490965627483|126.804352641123,36.4488831335973|126.804417881228,36.4495500987394|126.804775005736,36.4494785948538|126.805240769641,36.4505607515271|126.80468299414,36.4505778567618|126.804856420497,36.4525787140614|126.803295377849,36.452323809096|126.803382784095,36.4530448806864"
"10237","10237005","청양시외버스터미널","44790","청양군",5,4,"공영","노외","296-2-000001","청양시장 주차장",181,"무료",126.801343,36.448416,"126.803382784095,36.4530448806864|126.802512651657,36.4530614571449|126.80168875594,36.4524472939229|126.801667370417,36.4520867948481|126.800574756035,36.4518686835568|126.800017016838,36.4518677438664|126.799616845149,36.4513263730651|126.7995724131,36.4512542052771|126.798970012723,36.4512712083428|126.798793553113,36.4504959127348|126.798617519184,36.4495584089496|126.799286926597,36.4495054747725|126.799132121338,36.4489825405372|126.80002484365,36.4488398645404|126.800068063801,36.4493806326545|126.800469716167,36.4493452630939|126.800382061873,36.4487323275984|126.800025029988,36.4487677721567|126.799827142914,36.4476500012231|126.802237367384,36.4472935833869|126.802634318136,36.4490965627483|126.804352641123,36.4488831335973|126.804417881228,36.4495500987394|126.804775005736,36.4494785948538|126.805240769641,36.4505607515271|126.80468299414,36.4505778567618|126.804856420497,36.4525787140614|126.803295377849,36.452323809096|126.803382784095,36.4530448806864"
"10237","10237005","청양시외버스터미널","44790","청양군",5,5,"공영","노외","296-2-000004","읍내리 제3공영주차장(국제세탁소 옆)",35,"무료",126.804419,36.45152269,"126.803382784095,36.4530448806864|126.802512651657,36.4530614571449|126.80168875594,36.4524472939229|126.801667370417,36.4520867948481|126.800574756035,36.4518686835568|126.800017016838,36.4518677438664|126.799616845149,36.4513263730651|126.7995724131,36.4512542052771|126.798970012723,36.4512712083428|126.798793553113,36.4504959127348|126.798617519184,36.4495584089496|126.799286926597,36.4495054747725|126.799132121338,36.4489825405372|126.80002484365,36.4488398645404|126.800068063801,36.4493806326545|126.800469716167,36.4493452630939|126.800382061873,36.4487323275984|126.800025029988,36.4487677721567|126.799827142914,36.4476500012231|126.802237367384,36.4472935833869|126.802634318136,36.4490965627483|126.804352641123,36.4488831335973|126.804417881228,36.4495500987394|126.804775005736,36.4494785948538|126.805240769641,36.4505607515271|126.80468299414,36.4505778567618|126.804856420497,36.4525787140614|126.803295377849,36.452323809096|126.803382784095,36.4530448806864"
"10238","10238006","공주대학교","44150","공주시",6,1,"공영","노외","286-2-000021","신관대학로 주차장",118,"무료",127.1381606823,36.4712007896,"127.146527747144,36.4739737058443|127.146617128679,36.4740366780147|127.146260508941,36.47427141186|127.1459036194,36.4743619600696|127.143828092168,36.4742923626013|127.141373228222,36.4742411976429|127.138204222533,36.4741727798063|127.137132770204,36.4740117951426|127.135904581308,36.4735445846271|127.134787738675,36.472933052084|127.134027838816,36.4722490204076|127.133424159328,36.471564811095|127.132060295231,36.4699983000756|127.131255427955,36.4690799988831|127.130964768614,36.4687378752664|127.130975685905,36.4685936783581|127.131287787377,36.4684131077971|127.131923188435,36.4680789866694|127.134576060995,36.4665981589967|127.135289469305,36.4662278865321|127.136169926859,36.4656862014574|127.136504740302,36.4657489039321|127.136829212446,36.4662802188069|127.137321405234,36.4670186079319|127.137345261072,36.4679017143439|127.137525602482,36.4689468504179|127.137995314343,36.4695771232827|127.138285690797,36.4697389987513|127.138420372313,36.4701894223715|127.139001069058,36.4704771243038|127.139113265561,36.4708284458224|127.139739977036,36.4718910852442|127.140052584876,36.4719988612083|127.140655100819,36.4719981597253|127.143533919429,36.4720668585298|127.143467630955,36.4724273998229|127.143492545278,36.4738511963046|127.14585803405,36.4738483565567|127.146348615364,36.4736495075029|127.146527747144,36.4739737058443"
"10238","10238006","공주대학교","44150","공주시",6,2,"공영","노외","286-2-000022","신관동 공원주차장",27,"유료",127.1358508319,36.4726697146,"127.146527747144,36.4739737058443|127.146617128679,36.4740366780147|127.146260508941,36.47427141186|127.1459036194,36.4743619600696|127.143828092168,36.4742923626013|127.141373228222,36.4742411976429|127.138204222533,36.4741727798063|127.137132770204,36.4740117951426|127.135904581308,36.4735445846271|127.134787738675,36.472933052084|127.134027838816,36.4722490204076|127.133424159328,36.471564811095|127.132060295231,36.4699983000756|127.131255427955,36.4690799988831|127.130964768614,36.4687378752664|127.130975685905,36.4685936783581|127.131287787377,36.4684131077971|127.131923188435,36.4680789866694|127.134576060995,36.4665981589967|127.135289469305,36.4662278865321|127.136169926859,36.4656862014574|127.136504740302,36.4657489039321|127.136829212446,36.4662802188069|127.137321405234,36.4670186079319|127.137345261072,36.4679017143439|127.137525602482,36.4689468504179|127.137995314343,36.4695771232827|127.138285690797,36.4697389987513|127.138420372313,36.4701894223715|127.139001069058,36.4704771243038|127.139113265561,36.4708284458224|127.139739977036,36.4718910852442|127.140052584876,36.4719988612083|127.140655100819,36.4719981597253|127.143533919429,36.4720668585298|127.143467630955,36.4724273998229|127.143492545278,36.4738511963046|127.14585803405,36.4738483565567|127.146348615364,36.4736495075029|127.146527747144,36.4739737058443"
"10238","10238006","공주대학교","44150","공주시",6,3,"공영","노외","286-2-000027","신관동 공영주차빌딩",142,"유료",127.1354615,36.4721192,"127.146527747144,36.4739737058443|127.146617128679,36.4740366780147|127.146260508941,36.47427141186|127.1459036194,36.4743619600696|127.143828092168,36.4742923626013|127.141373228222,36.4742411976429|127.138204222533,36.4741727798063|127.137132770204,36.4740117951426|127.135904581308,36.4735445846271|127.134787738675,36.472933052084|127.134027838816,36.4722490204076|127.133424159328,36.471564811095|127.132060295231,36.4699983000756|127.131255427955,36.4690799988831|127.130964768614,36.4687378752664|127.130975685905,36.4685936783581|127.131287787377,36.4684131077971|127.131923188435,36.4680789866694|127.134576060995,36.4665981589967|127.135289469305,36.4662278865321|127.136169926859,36.4656862014574|127.136504740302,36.4657489039321|127.136829212446,36.4662802188069|127.137321405234,36.4670186079319|127.137345261072,36.4679017143439|127.137525602482,36.4689468504179|127.137995314343,36.4695771232827|127.138285690797,36.4697389987513|127.138420372313,36.4701894223715|127.139001069058,36.4704771243038|127.139113265561,36.4708284458224|127.139739977036,36.4718910852442|127.140052584876,36.4719988612083|127.140655100819,36.4719981597253|127.143533919429,36.4720668585298|127.143467630955,36.4724273998229|127.143492545278,36.4738511963046|127.14585803405,36.4738483565567|127.146348615364,36.4736495075029|127.146527747144,36.4739737058443"
"10238","10238006","공주대학교","44150","공주시",6,4,"공영","노상","286-1-000010","관골1길 주차장",10,"무료",127.1339507611,36.4719874688,"127.146527747144,36.4739737058443|127.146617128679,36.4740366780147|127.146260508941,36.47427141186|127.1459036194,36.4743619600696|127.143828092168,36.4742923626013|127.141373228222,36.4742411976429|127.138204222533,36.4741727798063|127.137132770204,36.4740117951426|127.135904581308,36.4735445846271|127.134787738675,36.472933052084|127.134027838816,36.4722490204076|127.133424159328,36.471564811095|127.132060295231,36.4699983000756|127.131255427955,36.4690799988831|127.130964768614,36.4687378752664|127.130975685905,36.4685936783581|127.131287787377,36.4684131077971|127.131923188435,36.4680789866694|127.134576060995,36.4665981589967|127.135289469305,36.4662278865321|127.136169926859,36.4656862014574|127.136504740302,36.4657489039321|127.136829212446,36.4662802188069|127.137321405234,36.4670186079319|127.137345261072,36.4679017143439|127.137525602482,36.4689468504179|127.137995314343,36.4695771232827|127.138285690797,36.4697389987513|127.138420372313,36.4701894223715|127.139001069058,36.4704771243038|127.139113265561,36.4708284458224|127.139739977036,36.4718910852442|127.140052584876,36.4719988612083|127.140655100819,36.4719981597253|127.143533919429,36.4720668585298|127.143467630955,36.4724273998229|127.143492545278,36.4738511963046|127.14585803405,36.4738483565567|127.146348615364,36.4736495075029|127.146527747144,36.4739737058443"
"10238","10238006","공주대학교","44150","공주시",6,5,"공영","노외","286-2-000088","신관동 쌈지주차장",7,"무료",127.1373998947,36.4690608,"127.146527747144,36.4739737058443|127.146617128679,36.4740366780147|127.146260508941,36.47427141186|127.1459036194,36.4743619600696|127.143828092168,36.4742923626013|127.141373228222,36.4742411976429|127.138204222533,36.4741727798063|127.137132770204,36.4740117951426|127.135904581308,36.4735445846271|127.134787738675,36.472933052084|127.134027838816,36.4722490204076|127.133424159328,36.471564811095|127.132060295231,36.4699983000756|127.131255427955,36.4690799988831|127.130964768614,36.4687378752664|127.130975685905,36.4685936783581|127.131287787377,36.4684131077971|127.131923188435,36.4680789866694|127.134576060995,36.4665981589967|127.135289469305,36.4662278865321|127.136169926859,36.4656862014574|127.136504740302,36.4657489039321|127.136829212446,36.4662802188069|127.137321405234,36.4670186079319|127.137345261072,36.4679017143439|127.137525602482,36.4689468504179|127.137995314343,36.4695771232827|127.138285690797,36.4697389987513|127.138420372313,36.4701894223715|127.139001069058,36.4704771243038|127.139113265561,36.4708284458224|127.139739977036,36.4718910852442|127.140052584876,36.4719988612083|127.140655100819,36.4719981597253|127.143533919429,36.4720668585298|127.143467630955,36.4724273998229|127.143492545278,36.4738511963046|127.14585803405,36.4738483565567|127.146348615364,36.4736495075029|127.146527747144,36.4739737058443"
"10238","10238006","공주대학교","44150","공주시",6,6,"공영","노외","286-2-000077","신관동 쌈지주차장",29,"무료",127.132563,36.468844,"127.146527747144,36.4739737058443|127.146617128679,36.4740366780147|127.146260508941,36.47427141186|127.1459036194,36.4743619600696|127.143828092168,36.4742923626013|127.141373228222,36.4742411976429|127.138204222533,36.4741727798063|127.137132770204,36.4740117951426|127.135904581308,36.4735445846271|127.134787738675,36.472933052084|127.134027838816,36.4722490204076|127.133424159328,36.471564811095|127.132060295231,36.4699983000756|127.131255427955,36.4690799988831|127.130964768614,36.4687378752664|127.130975685905,36.4685936783581|127.131287787377,36.4684131077971|127.131923188435,36.4680789866694|127.134576060995,36.4665981589967|127.135289469305,36.4662278865321|127.136169926859,36.4656862014574|127.136504740302,36.4657489039321|127.136829212446,36.4662802188069|127.137321405234,36.4670186079319|127.137345261072,36.4679017143439|127.137525602482,36.4689468504179|127.137995314343,36.4695771232827|127.138285690797,36.4697389987513|127.138420372313,36.4701894223715|127.139001069058,36.4704771243038|127.139113265561,36.4708284458224|127.139739977036,36.4718910852442|127.140052584876,36.4719988612083|127.140655100819,36.4719981597253|127.143533919429,36.4720668585298|127.143467630955,36.4724273998229|127.143492545278,36.4738511963046|127.14585803405,36.4738483565567|127.146348615364,36.4736495075029|127.146527747144,36.4739737058443"
"10240","10240003","진천읍","43750","진천군",3,1,"공영","노상","279-1-000001","노상1",126,"무료",127.4417656,36.85395363,"127.439023353616,36.8593172595123|127.439044958441,36.8591730054786|127.442089838064,36.8582606648647|127.441180818182,36.8522627650429|127.444138714232,36.8518733266252|127.444485382261,36.8536561957965|127.449336172469,36.8548274554954|127.449464184532,36.8575482667883|127.441381794651,36.8599393161595|127.439655011674,36.8599637173497|127.439023353616,36.8593172595123"
"10240","10240003","진천읍","43750","진천군",3,2,"공영","노상","279-1-000002","노상2",75,"무료",127.4441785,36.8548169,"127.439023353616,36.8593172595123|127.439044958441,36.8591730054786|127.442089838064,36.8582606648647|127.441180818182,36.8522627650429|127.444138714232,36.8518733266252|127.444485382261,36.8536561957965|127.449336172469,36.8548274554954|127.449464184532,36.8575482667883|127.441381794651,36.8599393161595|127.439655011674,36.8599637173497|127.439023353616,36.8593172595123"
"10240","10240003","진천읍","43750","진천군",3,3,"공영","노외","279-2-000005","노외주차장1",508,"무료",127.4474978,36.85781645,"127.439023353616,36.8593172595123|127.439044958441,36.8591730054786|127.442089838064,36.8582606648647|127.441180818182,36.8522627650429|127.444138714232,36.8518733266252|127.444485382261,36.8536561957965|127.449336172469,36.8548274554954|127.449464184532,36.8575482667883|127.441381794651,36.8599393161595|127.439655011674,36.8599637173497|127.439023353616,36.8593172595123"
"10248","10248002","성안길육거리","43110","청주시",2,1,"공영","노상","270-1-000008","남사로",44,"유료",127.4888774,36.6319265,"127.491266397196,36.6282996189327|127.49025774613,36.6367630524196|127.489982437865,36.6369894623538|127.486177992961,36.6365454316426|127.484709767112,36.636436503918|127.484606278218,36.6355312955537|127.484669302008,36.6353282873274|127.484646889428,36.6344250027258|127.484632243982,36.6334225629571|127.48457046202,36.632481139996|127.484625984378,36.6324200890054|127.485539264905,36.6323014880947|127.486149299884,36.6333037596899|127.48613230205,36.6337138397485|127.486463809518,36.6335345187413|127.486444045297,36.633057004084|127.488001455039,36.6331340071806|127.488059430266,36.6330188772146|127.488412239807,36.6331165590486|127.488458792883,36.6329631778595|127.488696520186,36.6329847338292|127.488782658486,36.6324594774078|127.48861368998,36.6322596686593|127.488698607484,36.6319844788618|127.48652333692,36.6318829685387|127.48660577577,36.6312112960972|127.486588482868,36.6311280126265|127.485461778664,36.6310852866838|127.485422535164,36.6310674236552|127.485423301456,36.6307430161629|127.485501046421,36.6302132903327|127.485761124716,36.6302347613822|127.485960476642,36.6299320744411|127.485580030508,36.6298818065292|127.4856067827,36.629690209079|127.486278007487,36.6297550635418|127.486613775636,36.6298122696123|127.486639128454,36.6298437056783|127.486742713383,36.6298703174603|127.486861141464,36.6286983744693|127.486933400865,36.6286327485649|127.487777636631,36.6286540860766|127.487858959702,36.6286965574352|127.487917602866,36.6282435034037|127.487959371387,36.6282185519403|127.487947568509,36.628119476545|127.487908170202,36.6280768340563|127.487928476575,36.6277500938221|127.488800794111,36.6277938375339|127.488898801117,36.6269351162688|127.488250142203,36.6268994707841|127.489313947365,36.6262846078263|127.48979824359,36.6264065281514|127.491266397196,36.6282996189327"
"10248","10248002","성안길육거리","43110","청주시",2,2,"공영","노상","270-1-000006","서문로",21,"유료",127.4868041,36.63506731,"127.491266397196,36.6282996189327|127.49025774613,36.6367630524196|127.489982437865,36.6369894623538|127.486177992961,36.6365454316426|127.484709767112,36.636436503918|127.484606278218,36.6355312955537|127.484669302008,36.6353282873274|127.484646889428,36.6344250027258|127.484632243982,36.6334225629571|127.48457046202,36.632481139996|127.484625984378,36.6324200890054|127.485539264905,36.6323014880947|127.486149299884,36.6333037596899|127.48613230205,36.6337138397485|127.486463809518,36.6335345187413|127.486444045297,36.633057004084|127.488001455039,36.6331340071806|127.488059430266,36.6330188772146|127.488412239807,36.6331165590486|127.488458792883,36.6329631778595|127.488696520186,36.6329847338292|127.488782658486,36.6324594774078|127.48861368998,36.6322596686593|127.488698607484,36.6319844788618|127.48652333692,36.6318829685387|127.48660577577,36.6312112960972|127.486588482868,36.6311280126265|127.485461778664,36.6310852866838|127.485422535164,36.6310674236552|127.485423301456,36.6307430161629|127.485501046421,36.6302132903327|127.485761124716,36.6302347613822|127.485960476642,36.6299320744411|127.485580030508,36.6298818065292|127.4856067827,36.629690209079|127.486278007487,36.6297550635418|127.486613775636,36.6298122696123|127.486639128454,36.6298437056783|127.486742713383,36.6298703174603|127.486861141464,36.6286983744693|127.486933400865,36.6286327485649|127.487777636631,36.6286540860766|127.487858959702,36.6286965574352|127.487917602866,36.6282435034037|127.487959371387,36.6282185519403|127.487947568509,36.628119476545|127.487908170202,36.6280768340563|127.487928476575,36.6277500938221|127.488800794111,36.6277938375339|127.488898801117,36.6269351162688|127.488250142203,36.6268994707841|127.489313947365,36.6262846078263|127.48979824359,36.6264065281514|127.491266397196,36.6282996189327"
